,m2858,m260,m1196,m1210,m480,m2028,m589,m2571,m1270,m593,m1580,m1198,m608,m2762,m110,m2396,m1197,m527,m1617,m1265,m1097,m2628,m2997,m318,m858,m356,m2716,m296,m1240,m1,m1214,m2916,m457,m3578,m1200,m541,m2987,m1259,m50,m34,m2791,m780,m3175,m1193,m919,m924,m1127,m2355,m1387,m1221,m912,m1036,m1213,m1610,m377,m1291,m2000,m1136,m3114,m1307,m1704,m1721,m1968,m648,m2599,m32,m3793,m2174,m2797,m2918,m2291,m2959,m3471,m590,m1374,m1394,m2683,m592,m1784,m1573,m1304,m3418,m223,m380,m2706,m1225,m1584,m1527,m3481,m1923,m750,m2699,m39,m21,m1393,m2804,m588,m2406,m1220,m733
u5573,1.0,,4.0,3.0,,,,,,5.0,,4.0,5.0,,,1.0,,,,1.0,5.0,,4.0,2.0,4.0,,,2.0,3.0,,4.0,,5.0,,5.0,,,3.0,,5.0,,,,4.0,,3.0,,,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
u5574,,5.0,4.0,5.0,4.0,,4.0,4.0,3.0,,,5.0,,,,5.0,5.0,,4.0,,5.0,1.0,,,,,3.0,,4.0,,5.0,,,,4.0,5.0,4.0,,,,,,5.0,,5.0,3.0,,5.0,4.0,,4.0,,,,1.0,4.0,,,,,,5.0,,,,,,5.0,,,5.0,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,4.0,,,
u5575,4.0,5.0,,,,,,,3.0,,4.0,,,5.0,,5.0,,,,4.0,4.0,3.0,,,,4.0,4.0,,,4.0,,,,,,,4.0,,,,,,5.0,,,,,4.0,,,,,,,,,4.0,4.0,5.0,,,,,,1.0,,,4.0,5.0,4.0,,,,,,4.0,4.0,,,,4.0,,,,4.0,4.0,,,4.0,,,2.0,3.0,3.0,,,,3.0,4.0,
u5576,1.0,5.0,5.0,5.0,5.0,,4.0,5.0,4.0,3.0,3.0,5.0,,,5.0,5.0,3.0,5.0,,4.0,,5.0,,4.0,,5.0,4.0,,4.0,,4.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,,4.0,,,,,5.0,2.0,,,,,,,,5.0,4.0,5.0,,4.0,,4.0,,5.0,3.0,4.0,,,,,,4.0,,,,5.0,4.0,,,4.0,,,3.0,,,4.0,,3.0,,,,,,,4.0,,,,4.0,,2.0,
u5577,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u5578,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,,5.0,,4.0,,5.0,4.0,,5.0,,5.0,2.0,5.0,,4.0,4.0,,,,4.0,5.0,,4.0,,,,,3.0,5.0,4.0,5.0,,,,,,,,,,,3.0,,,,4.0,,,,4.0,,,,,5.0,,,5.0,3.0,,,,,,,,,2.0,,,5.0,4.0,,,4.0,,,,,3.0,,,,,,5.0,,,,
u5579,,,,,,5.0,,,,4.0,,,,,,,,5.0,,,5.0,,,5.0,5.0,,,5.0,,,,,,,,,,,,,,,,,5.0,,,3.0,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
u558,5.0,5.0,2.0,,2.0,5.0,4.0,,4.0,5.0,,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,,4.0,,,,,,,4.0,,,3.0,3.0,3.0,5.0,,2.0,,,5.0,5.0,5.0,,,,,5.0,,,,,,,4.0,,5.0,5.0,,4.0,4.0,2.0,,,,3.0,4.0,3.0,,4.0,5.0,,3.0,,2.0,4.0,,3.0,,3.0,,,4.0,,,,,5.0,,3.0,3.0,4.0,,,3.0,3.0,
u5580,4.0,4.0,5.0,4.0,4.0,,5.0,,5.0,5.0,4.0,5.0,,3.0,,4.0,5.0,5.0,,4.0,5.0,,,5.0,5.0,5.0,3.0,,5.0,,,5.0,4.0,,,,2.0,4.0,,,5.0,4.0,4.0,5.0,5.0,,,,4.0,5.0,5.0,5.0,4.0,,,5.0,,,,5.0,,,3.0,3.0,3.0,,,,4.0,3.0,,,4.0,,5.0,3.0,4.0,3.0,,,,4.0,,3.0,5.0,4.0,,4.0,,4.0,5.0,,4.0,,3.0,,,5.0,,4.0
u5581,,,5.0,4.0,,,,5.0,,,,,,,,,5.0,,4.0,,,,,,5.0,,,,5.0,,,,5.0,5.0,,,,,,,,,,,,,,,5.0,5.0,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,5.0,3.0,,,,,,,,,,,,,,3.0,4.0,
u5582,1.0,,5.0,,,,,,3.0,,,5.0,,,,5.0,4.0,5.0,5.0,,,,,5.0,4.0,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,5.0,5.0,,,2.0,,,,,,,,,,,,,,,,,,,5.0,4.0,,,,5.0,,,,,5.0,,,,,,,,,
u5583,5.0,5.0,4.0,,,5.0,5.0,5.0,,,,4.0,,5.0,5.0,5.0,5.0,,,4.0,,,5.0,5.0,5.0,4.0,3.0,,5.0,4.0,5.0,,4.0,5.0,5.0,,4.0,,,4.0,,,,,,,3.0,,,,,3.0,,5.0,,4.0,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,5.0,,,,,,,,,,,,,,,,,5.0,,
u5584,,,,,,,,,,,,,,1.0,,,,,,,,,5.0,,,,5.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u5585,5.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0,5.0,3.0,3.0,4.0,3.0,2.0,4.0,5.0,,5.0,5.0,,,5.0,4.0,5.0,,2.0,4.0,3.0,,3.0,3.0,4.0,,4.0,5.0,2.0,,5.0,5.0,4.0,,,,,4.0,,,4.0,5.0,4.0,4.0,5.0,3.0,4.0,,3.0,5.0,,4.0,,,,,4.0,,,,,,,5.0,,,1.0,4.0,,2.0,,4.0,4.0,4.0,,,,5.0,,,5.0,,,,,,,5.0,,3.0,5.0,
u5586,5.0,,,,,5.0,,,,4.0,,3.0,4.0,,,,,,3.0,,,,,4.0,,,,4.0,,,,,,3.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,5.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
u5587,,,,,,5.0,4.0,,2.0,,,,,,5.0,5.0,,,,,,,,,,,,,,5.0,,4.0,5.0,,,,5.0,,,,,,,,,,,3.0,,,,,,4.0,,,,,,,4.0,,,,,,,,,,,,,,,,4.0,,,,,,5.0,,3.0,,,,,,,,,,,,,,,
u5588,5.0,,3.0,,,,,,,3.0,,,5.0,3.0,,,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,4.0,,,,,1.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,5.0,,,,
u5589,,,,,,,,,3.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,5.0,,,,,,,,,,,
u559,,,,,,,,,,4.0,,,,5.0,,2.0,,,,2.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u5590,1.0,,,,,,,,,3.0,,,,,,,,5.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u5591,,5.0,,5.0,,,,,5.0,,,,4.0,4.0,,,,,,,,3.0,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,4.0,,,,5.0,,,5.0,,,,,,,,,,,,,,
u5592,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,,,,,5.0,,4.0,4.0,5.0,,5.0,,,5.0,5.0,,5.0,,4.0,4.0,4.0,5.0,,,,,5.0,4.0,3.0,,,5.0,5.0,,,,5.0,,4.0,,,,,,4.0,4.0,,,,,,5.0,,,,,,,5.0,4.0,5.0,5.0,,,,3.0,,,,,,4.0,3.0,3.0,,,5.0,,,,,4.0,,,,
u5593,,5.0,5.0,5.0,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,,,,4.0,,5.0,5.0,5.0,,,,2.0,,4.0,5.0,5.0,5.0,5.0,5.0,,4.0,4.0,5.0,,,4.0,5.0,,5.0,,,5.0,,,5.0,,3.0,5.0,,5.0,4.0,5.0,5.0,4.0,,,,4.0,,,,4.0,,,,,,,4.0,,5.0,,,,,4.0,5.0,4.0,,5.0,,,,,,5.0,5.0,,,,4.0,,,4.0,,5.0
u5594,3.0,3.0,,,,,,,,5.0,,4.0,5.0,,,2.0,,5.0,5.0,,,,,,4.0,,3.0,,,,,,,4.0,,,,,4.0,,4.0,,,4.0,5.0,5.0,,,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,5.0,2.0,,,,5.0,,,,,,,,,,,,,,
u5595,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,,4.0,5.0,,4.0,4.0,,5.0,,,,2.0,2.0,5.0,,5.0,,,,5.0,,5.0,3.0,3.0,3.0,4.0,4.0,4.0,,,,,2.0,4.0,,,4.0,4.0,,,4.0,,,,4.0,2.0,4.0,,,,,,2.0,,,4.0,5.0,,4.0,3.0,,,5.0,2.0,,4.0,,2.0,,,,4.0,3.0,,3.0,,,4.0,4.0,,,4.0,4.0,,3.0,,,,2.0,5.0,
u5596,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,2.0,3.0,5.0,5.0,,,,5.0,4.0,,5.0,3.0,5.0,4.0,5.0,,3.0,5.0,5.0,4.0,5.0,5.0,,,4.0,5.0,5.0,,,,,,4.0,5.0,5.0,5.0,4.0,,4.0,5.0,5.0,4.0,5.0,,,,,,,,,,,,,4.0,,3.0,3.0,,,,5.0,4.0,,,,,,3.0,,5.0,,,,4.0,4.0,,,,5.0,,,,,,,,,
u5597,5.0,,,,,,,,,5.0,,,5.0,,,,,4.0,2.0,,,,,,5.0,,1.0,5.0,,,1.0,,,,,3.0,,,4.0,,,,,,,,,,4.0,5.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
u5598,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,4.0,,4.0,3.0,,5.0,5.0,5.0,,5.0,,5.0,,4.0,,5.0,,5.0,4.0,,,4.0,,,,5.0,4.0,,,,,,4.0,4.0,,,,,4.0,4.0,,,,5.0,,,4.0,4.0,,,2.0,,5.0,5.0,,3.0,,,4.0,4.0,3.0,3.0,4.0,4.0,,,,,2.0,4.0,,,,,,4.0,5.0,,,4.0,,5.0,,,3.0,,5.0,5.0,,,,4.0
u5599,5.0,,,,,5.0,5.0,,,,5.0,,,4.0,5.0,5.0,,,,5.0,,,4.0,,,5.0,4.0,,,,,3.0,5.0,4.0,,,,,,,,5.0,,,,,,4.0,,,,,,4.0,4.0,,,,5.0,,,4.0,,3.0,4.0,,,,,,,,,,,,,,,,,5.0,4.0,3.0,,,,,4.0,,,,4.0,4.0,5.0,,,,,4.0
u56,5.0,,,,,5.0,,3.0,,1.0,,,5.0,4.0,4.0,4.0,,5.0,5.0,,,,4.0,4.0,,,,4.0,,5.0,,,5.0,,,,,,5.0,5.0,,,,,,,,5.0,,,,,5.0,,,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,,,4.0,,,,5.0,,,
u560,,5.0,4.0,4.0,5.0,5.0,4.0,4.0,,,4.0,4.0,,,5.0,,,,,,,4.0,,,3.0,,,,4.0,,5.0,4.0,5.0,,4.0,,,,,,,3.0,,5.0,,,4.0,,3.0,2.0,,,,4.0,5.0,,,,,,,,,4.0,,,,,,,,,,,5.0,,,,,,5.0,5.0,,,,,,5.0,,,,,,,,,,4.0,3.0,
u5600,5.0,5.0,5.0,5.0,,,,5.0,5.0,1.0,,3.0,3.0,5.0,,,4.0,4.0,3.0,,,4.0,4.0,5.0,1.0,5.0,5.0,,,5.0,,,,,,5.0,,3.0,,4.0,4.0,,4.0,5.0,5.0,,,,,,5.0,4.0,,,,,4.0,5.0,,5.0,5.0,,,,4.0,,,,5.0,,,,,3.0,,4.0,,,5.0,,5.0,,3.0,4.0,,5.0,5.0,,,,,,5.0,,,5.0,3.0,,3.0,
u5601,,5.0,,,,,2.0,,,3.0,,4.0,4.0,,3.0,,4.0,,4.0,,,,,,4.0,,,2.0,,,,3.0,3.0,,4.0,4.0,,,5.0,,,3.0,,,,5.0,,,,4.0,,4.0,3.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,3.0,,,3.0
u5602,5.0,4.0,,,3.0,5.0,,5.0,,,4.0,,,,4.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,,4.0,5.0,,,,5.0,,,,4.0,,,,,,,,3.0,,,,,,4.0,,,,,,,,,,,4.0,5.0,,,,,4.0,,4.0,4.0,4.0,,,5.0,,,,,2.0,,,,,,,,,,,,5.0,,,,,,,,4.0,,,
u5603,3.0,3.0,3.0,3.0,,1.0,1.0,1.0,3.0,1.0,,2.0,,,,5.0,,1.0,,5.0,4.0,,,,1.0,,4.0,1.0,,,1.0,,,,,,,,,3.0,,,4.0,,,,,,1.0,1.0,5.0,,,1.0,,,1.0,,,4.0,,,,,,,,,,,,,,1.0,,,,2.0,,,3.0,4.0,,,,,,,,,4.0,,,,,,,,,
u5604,,,,,2.0,4.0,3.0,1.0,3.0,5.0,,,5.0,,,3.0,1.0,5.0,,3.0,,,,4.0,,3.0,2.0,3.0,3.0,,2.0,,,,,,3.0,,,1.0,,,,4.0,4.0,,,1.0,4.0,,4.0,4.0,,3.0,3.0,,,,,3.0,5.0,4.0,3.0,,,,,,,,,,,4.0,,,,,3.0,,,4.0,,,,4.0,,,,,,,,,,,3.0,3.0,,3.0
u5605,5.0,3.0,5.0,3.0,4.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,5.0,3.0,,4.0,4.0,3.0,,3.0,,,,1.0,,,4.0,3.0,4.0,3.0,4.0,2.0,,,5.0,3.0,,3.0,4.0,,,,,3.0,3.0,4.0,,4.0,,2.0,5.0,4.0,4.0,3.0,2.0,3.0,1.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,,5.0,,3.0,2.0,5.0,,,3.0,3.0,3.0,5.0,,4.0,4.0,1.0,,3.0,3.0,,4.0,4.0,4.0,,1.0,4.0
u5606,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
u5607,5.0,,4.0,,,,,,5.0,,3.0,,,,,5.0,,,,4.0,,3.0,1.0,,,,4.0,,,4.0,,,,,,,,,,,4.0,,4.0,,,,,3.0,,,,,,,,,,4.0,3.0,5.0,,,,,5.0,,,4.0,4.0,,,,,,,3.0,,,5.0,,,,3.0,4.0,4.0,,,,,4.0,,,4.0,,,3.0,4.0,4.0,4.0,
u5608,5.0,,,,3.0,,,,,,,,4.0,,3.0,,,,,,3.0,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,
u5609,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,4.0,5.0,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,
u561,,,,,,,,,,,,,,5.0,,,5.0,,,,3.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,
u5610,,5.0,,,4.0,5.0,,,,,,,5.0,5.0,,,,,,3.0,,,,5.0,,5.0,,5.0,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
u5611,,,,,,,,4.0,4.0,,,4.0,,,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,5.0,,4.0,5.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,,5.0,,,,,,,,,,,,,,,,,,4.0
u5612,,,,,,,,,,,,,,3.0,,,,,,,,,,,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,
u5613,5.0,,,,,,,,3.0,,4.0,,,3.0,,5.0,,,,,,3.0,5.0,,,,,,,,,,,,,,,,,5.0,4.0,,4.0,,,,,5.0,,,,,,,,,4.0,2.0,,,,1.0,,,,,,5.0,,5.0,,,,,,4.0,,,5.0,,,,4.0,,,,,,,4.0,,,,3.0,,3.0,,4.0,3.0,
u5614,5.0,4.0,4.0,4.0,3.0,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,5.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,,5.0,5.0,3.0,5.0,5.0,2.0,5.0,3.0,4.0,5.0,2.0,5.0,4.0,,4.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,,4.0,5.0,4.0,5.0,4.0,3.0,5.0,,5.0,4.0,5.0,2.0,,5.0,2.0,4.0,5.0,,4.0,5.0,5.0,3.0,4.0,5.0,4.0,,4.0,5.0,5.0,,4.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0
u5615,4.0,,5.0,2.0,2.0,5.0,4.0,,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,,,2.0,4.0,,,3.0,2.0,4.0,5.0,5.0,,3.0,4.0,,5.0,,4.0,,,5.0,5.0,2.0,4.0,,,,3.0,3.0,,,,3.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0,,4.0,2.0,2.0,4.0,3.0,,4.0,5.0,,,,,3.0,4.0,3.0,2.0,3.0,2.0,,,3.0,,4.0,,,,,4.0,5.0,,,4.0,3.0,,4.0,3.0,3.0,3.0,
u5616,5.0,5.0,5.0,4.0,,,,,5.0,4.0,,,,,3.0,5.0,5.0,5.0,3.0,,5.0,,5.0,5.0,5.0,5.0,4.0,,3.0,,,,,,,,,,,,2.0,4.0,,5.0,3.0,,,,5.0,5.0,5.0,,,,,,,5.0,,5.0,,,4.0,,,,,,4.0,4.0,,,5.0,,,,,,,,4.0,,,,,,4.0,,,,4.0,,,,,5.0,,,4.0,
u5617,,5.0,4.0,4.0,5.0,,3.0,5.0,4.0,,4.0,4.0,,5.0,4.0,,3.0,,,,,4.0,,,,,,,5.0,,5.0,3.0,4.0,,5.0,1.0,,,,,,,,,,3.0,3.0,,2.0,,,5.0,,4.0,5.0,4.0,4.0,,,,,,,,,2.0,,,,,,,,,4.0,,,,,3.0,,2.0,,,,,2.0,,,,,,,,,,,,,5.0
u5618,5.0,,,,5.0,5.0,4.0,4.0,5.0,,4.0,5.0,,5.0,,,3.0,3.0,,4.0,,,4.0,5.0,,4.0,4.0,,,5.0,,,4.0,,,,,,,,,,5.0,4.0,,,,5.0,,,,,,,,5.0,,,5.0,,,,4.0,,,,,,,4.0,4.0,3.0,,,,,,,4.0,5.0,,,,,5.0,,,,,4.0,,,,,3.0,,5.0,,,5.0
u5619,,,,,,,,,,,,,,3.0,,5.0,5.0,,5.0,4.0,3.0,,5.0,,3.0,4.0,,,,,,,,5.0,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,4.0,,,,3.0,,,,,,4.0,4.0,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
u562,,4.0,4.0,,,5.0,,,,,,4.0,,,5.0,,3.0,,,,,,,,5.0,,,,5.0,,5.0,,4.0,4.0,5.0,,,,,,,,,,,,,,5.0,5.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,
u5620,,5.0,,5.0,4.0,,4.0,4.0,4.0,5.0,3.0,3.0,1.0,5.0,5.0,,,5.0,,2.0,5.0,4.0,,5.0,,5.0,4.0,,5.0,4.0,4.0,3.0,5.0,5.0,4.0,,1.0,5.0,,,,4.0,2.0,5.0,,,,,5.0,,5.0,,,4.0,4.0,3.0,4.0,,,3.0,5.0,4.0,4.0,3.0,,,4.0,3.0,4.0,5.0,3.0,,4.0,5.0,,,,4.0,,,,,,3.0,,,,,,,,2.0,,,3.0,,3.0,4.0,,3.0
u5621,4.0,5.0,5.0,5.0,4.0,,2.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,,,3.0,,4.0,2.0,3.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,4.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,1.0,3.0,2.0,,5.0,,4.0,1.0,,4.0,4.0,5.0,1.0,5.0,3.0,,3.0,2.0,5.0,,4.0,3.0,1.0,,,,,3.0,4.0,,1.0,3.0,4.0,2.0,1.0,3.0,5.0,3.0,,,,,3.0,5.0,1.0,3.0,,4.0,,,4.0,5.0,,3.0,,,,2.0,4.0,4.0,
u5622,,,,,,,,,3.0,,,,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,3.0,,,,,5.0,,,,,,,,,,,,,4.0,,,,,4.0,
u5623,,5.0,,5.0,5.0,5.0,4.0,,4.0,5.0,,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,,,5.0,3.0,5.0,3.0,4.0,4.0,,4.0,,5.0,5.0,,,,,,5.0,5.0,,,4.0,,,4.0,4.0,3.0,,,5.0,,5.0,5.0,5.0,,5.0,,5.0,5.0,,5.0,,,4.0,,3.0,,4.0,,,3.0,5.0,,5.0,,3.0,,,,,,,,5.0,5.0,,,,,,4.0,,,4.0,5.0,4.0,,
u5624,,5.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,,4.0,,5.0,,4.0,,4.0,3.0,4.0,,4.0,5.0,,,,4.0,,5.0,,,,4.0,,4.0,4.0,4.0,4.0,,,,4.0,4.0,,,,,,3.0,,,5.0,,5.0,4.0,4.0,,,,,5.0,,1.0,,3.0,,,,4.0,3.0,5.0,,,,,,,,,,2.0,,2.0,,4.0,,,,,,,4.0,,,,,,4.0,,,4.0
u5625,4.0,,,,,,,,4.0,4.0,4.0,5.0,4.0,,,,3.0,,5.0,4.0,,,3.0,,4.0,,,5.0,4.0,,,,,5.0,,4.0,3.0,,5.0,5.0,4.0,,4.0,,,,,,,,,,5.0,,,,,,,3.0,,,4.0,,4.0,,,,3.0,,,,,,,3.0,,1.0,,,4.0,,,,,,,,,,,,4.0,5.0,,,,4.0,5.0,
u5626,,,,,5.0,5.0,4.0,,,,3.0,,,,5.0,,,,4.0,,2.0,,,4.0,,5.0,,2.0,,,,4.0,,5.0,5.0,,,,,,,4.0,,5.0,,,,,5.0,,5.0,,,5.0,,4.0,4.0,,,,,,,,,,,,,,,,,4.0,5.0,,,,,,5.0,5.0,,3.0,,,,,,,5.0,,,,,,,,,
u5627,3.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,,3.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,,3.0,3.0,1.0,4.0,3.0,,2.0,3.0,3.0,,,3.0,3.0,5.0,3.0,3.0,3.0,,1.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,2.0,,3.0,3.0,,,3.0,3.0,4.0,4.0,4.0,3.0,3.0
u5628,,5.0,5.0,,,3.0,4.0,,,,,5.0,,,,,,,,,,,,,,,,,4.0,,4.0,,4.0,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
u5629,,5.0,5.0,5.0,,5.0,,3.0,,,,5.0,5.0,4.0,,,4.0,,5.0,,4.0,,5.0,,5.0,3.0,,5.0,2.0,4.0,,,,,3.0,5.0,,,,,4.0,,,5.0,5.0,4.0,,,,5.0,5.0,3.0,,,,,,,4.0,,,,,,,4.0,,4.0,,,,,,,,5.0,,,,,5.0,5.0,,,,4.0,,,,,5.0,,,,,,,2.0,5.0,
u563,,5.0,5.0,5.0,3.0,,4.0,4.0,4.0,,4.0,,,4.0,,,,,,,4.0,2.0,,,,,,,4.0,5.0,3.0,3.0,,,5.0,3.0,3.0,,,,,3.0,4.0,,,5.0,3.0,3.0,,,,,,,,,,,5.0,,,,,,,4.0,5.0,4.0,3.0,,,,4.0,,5.0,,,,,2.0,,,,,,,3.0,2.0,,,5.0,3.0,,,,,5.0,,,
u5630,5.0,5.0,5.0,,3.0,,4.0,5.0,,4.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,,5.0,5.0,,5.0,4.0,5.0,5.0,,,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,,,5.0,4.0,,4.0,5.0,,5.0,,,3.0,,,,,5.0,,,,,5.0,4.0,,,5.0,,3.0,4.0,,1.0,,,,5.0,,,,,4.0,,,,4.0,,5.0,5.0,,,5.0,,5.0,4.0,4.0,5.0,3.0,,4.0,4.0,,4.0,,,4.0
u5631,,3.0,3.0,,,,4.0,,,4.0,,4.0,,,,,,4.0,,5.0,,,,5.0,4.0,,,,,4.0,4.0,,4.0,,4.0,5.0,,4.0,,,,,,5.0,,5.0,,,,,,,,,,,,2.0,,,,,5.0,,,5.0,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,
u5632,5.0,,,,,5.0,,5.0,,3.0,,4.0,,,3.0,,4.0,5.0,,,5.0,,,,,,,,,,,,4.0,,,,,,,,,2.0,,,,,,,,,5.0,,,5.0,4.0,4.0,,,,,,,,4.0,,,,,,,,,,,,,,,,3.0,,3.0,,4.0,,,,5.0,,,,,,3.0,,,,,,4.0
u5633,,,4.0,5.0,,,,3.0,4.0,3.0,5.0,4.0,,,,,,4.0,,,,3.0,,3.0,5.0,,,3.0,,,,,,,,4.0,,,,,,2.0,,,4.0,5.0,3.0,,,,,,3.0,,,,,,,,,,4.0,,,,,,,,,,4.0,,3.0,,,,,,,,,,,,4.0,,,,3.0,,,,,,,,,
